direccion,lat,lon,precio,habitaciones,banos,mes_venta,anio_venta,dist_estacion
1 Datchet Turn,-32.23789039,115.8423672,270000.0,3,2,08,2020,447.0
1 McKenzie Corner,-32.254559,115.84725,470000.0,4,2,06,2016,2200.0
10 Addingham Crescent,-32.25049428,115.8456071,455000.0,4,2,11,2016,1700.0
10 Cleopatra Circuit,-32.25330798,115.8438598,410000.0,4,2,10,2020,2000.0
10 Corrour Bend,-32.23866083,115.8439947,245000.0,3,2,06,2019,415.0
10 Daniels Place,-32.2513906,115.8381918,394000.0,4,2,11,2020,1900.0
10 Kakadu Rest,-32.24692,115.85138,430000.0,4,2,03,2017,1600.0
10 Sanctuary Drive,-32.243584,115.849431,385000.0,4,2,12,2016,1100.0
10 Squires Avenue,-32.251683,115.846661,410000.0,4,2,12,2015,1900.0
10 Tranby Way,-32.24824558,115.8450503,390000.0,4,2,06,2017,1500.0
10 Wanstead Vista,-32.249729,115.835951,371500.0,3,2,01,2016,1700.0
10 Warrior Pass,-32.24788,115.84568,225000.0,3,2,05,2020,1400.0
10 Yelka Way,-32.24991,115.84254,460000.0,4,2,02,2019,1600.0
104 Price Parkway,-32.2413261,115.8434545,342500.0,4,2,10,2018,696.0
107 Millbrook Avenue,-32.23797643,115.8447825,240000.0,3,2,09,2020,380.0
11 Datchet Turn,-32.23834424,115.8423552,160000.0,3,2,03,2016,328.0
11 Heathcote Way,-32.254032,115.845861,335000.0,4,2,09,2019,2100.0
11 Karda Way,-32.253582,115.845555,382000.0,4,2,05,2017,2100.0
11 Moombaki Avenue,-32.25006,115.83905,508000.0,4,2,05,2016,1700.0
11 Ostling Avenue,-32.248313,115.837873,345000.0,4,2,05,2016,1500.0
117 Millbrook Avenue,-32.23797043,115.8441379,305000.0,3,2,09,2016,349.0
12 Ameer Crescent,-32.24981,115.84661,353000.0,4,2,06,2018,1700.0
12 Dewsbury Drive,-32.2432767,115.8440983,360000.0,4,2,10,2020,919.0
13 Chieftain Street,-32.25102,115.84184,370000.0,4,2,12,2019,1800.0
13 Corrour Bend,-32.23854203,115.8435576,360000.0,3,2,02,2017,391.0
13 Karda Way,-32.253511,115.845394,440000.0,4,2,04,2016,2100.0
13 Parkfield Boulevard,-32.24862,115.84647,375000.0,4,2,09,2017,1500.0
13 Prince Regent Gate,-32.25027179,115.8492207,400000.0,4,2,09,2016,1800.0
13 Unicorn Street,-32.24931,115.84332,405000.0,4,2,01,2016,1600.0
14 Champion Drive,-32.247044,115.845337,290000.0,4,2,04,2019,1400.0
14 Chieftain Street,-32.25061,115.84213,366000.0,4,2,04,2016,1700.0
14 Darton Loop,-32.23757121,115.8419491,340000.0,3,2,01,2016,296.0
14 John Forrest Circuit,-32.25401,115.848138,420000.0,4,2,08,2016,2200.0
14 Ludlow Way,-32.23956516,115.8444668,290000.0,3,2,04,2016,525.0
14 Rewell Vista,-32.2540583,115.8463574,430000.0,4,2,05,2017,2100.0
14 Sanctuary Drive,-32.244044,115.849624,518000.0,4,2,05,2016,1200.0
14 Squires Avenue,-32.251965,115.846437,455000.0,4,2,01,2017,1900.0
148 Price Parkway,-32.23830474,115.8432527,270000.0,3,2,02,2019,640.0
15 Hunter Way,-32.2482224,115.8407198,470000.0,4,2,09,2018,1500.0
15 Keyham Street,-32.24034042,115.841262,300000.0,3,2,03,2017,619.0
15 Minstrell Road,-32.249473,115.83816,433000.0,4,2,02,2017,1600.0
15 Moston Crescent,-32.24063635,115.8416392,399000.0,4,2,07,2016,620.0
153 Price Parkway,-32.23800237,115.8426995,340000.0,3,2,01,2016,318.0
16 Ameer Crescent,-32.24991,115.84697,417000.0,4,2,04,2016,1700.0
16 Drummore Way,-32.25128039,115.8465708,406500.0,4,2,01,2020,1800.0
16 Leeuwin Chase,-32.25457521,115.8497578,415000.0,4,2,05,2016,2300.0
16 Mickle Way,-32.24676,115.8378,360000.0,4,2,10,2020,1400.0
16 Murphy Crescent,-32.24933051,115.8419354,400000.0,4,2,03,2017,1600.0
16 Parkfield Boulevard,-32.24871,115.84569,429000.0,4,2,10,2015,1500.0
16 Silverline Bend,-32.24185626,115.8440777,350000.0,4,2,11,2020,763.0
16 Squires Avenue,-32.25212,115.846316,452000.0,4,2,11,2017,1900.0
16 Wimbledon Street,-32.25004584,115.8481429,360000.0,4,2,02,2018,1700.0
17 Greenham Way,-32.251396,115.837682,300000.0,4,2,07,2020,1900.0
17 John Forrest Circuit,-32.25486169,115.8487689,368000.0,4,2,10,2020,2300.0
17 Mccallum Parkway,-32.25127,115.84894,347000.0,4,2,03,2017,1900.0
17 Price Parkway,-32.24606806,115.8455446,360000.0,4,2,08,2016,1200.0
17 Warrior Pass,-32.24771379,115.8450869,425000.0,4,2,04,2016,1400.0
173 Bertram Road,-32.25146421,115.8399015,466000.0,4,2,12,2015,1800.0
18 Murphy Crescent,-32.24915779,115.84202,460000.0,4,2,05,2018,1600.0
18 Ostling Avenue,-32.247876,115.837391,430000.0,4,2,01,2016,1500.0
18 Parkfield Boulevard,-32.24884,115.84556,380000.0,4,2,04,2020,1600.0
19 Millbrook Avenue,-32.24318653,115.8446484,320000.0,3,2,02,2016,918.0
19 Waterfields Drive,-32.24078438,115.8492289,305000.0,3,2,07,2019,889.0
2 Chipperton Road,-32.25198,115.84253,567000.0,4,2,01,2016,1900.0
2 Kawoor Mews,-32.247048,115.840933,385000.0,3,2,10,2019,1300.0
2 Orient Way,-32.2527294,115.8423863,360000.0,4,2,06,2018,2000.0
2 Rewell Vista,-32.252869,115.846343,450000.0,4,2,09,2016,2000.0
20 Camballin Loop,-32.23955703,115.8505945,390000.0,4,2,10,2017,907.0
